# time         sensor    measurable   value
1393137638     6      0      236.0000
1393137638     6      1      0.0000
1393137649     1      0      -3.9690
1393137649     2      0      -1.2060
1393137649     6      0      236.0000
1393137649     6      1      0.0000
1393137660     1      0      -3.5060
1393137660     2      0      -1.2920
1393137660     6      0      236.0000
1393137660     6      1      0.0000
1393137671     1      0      -3.5060
1393137671     2      0      -1.3780
1393137671     6      0      236.0000
1393137671     6      1      0.0000
1393137682     1      0      -3.5060
1393137682     2      0      -1.4120
1393137682     6      0      236.0000
1393137682     6      1      0.0000
1393137693     1      0      -3.7380
1393137693     2      0      -1.4120
1393137693     6      0      236.0000
1393137693     6      1      0.0000
1393137704     1      0      -3.5060
1393137704     2      0      -1.4300
1393137704     6      0      236.0000
1393137704     6      1      0.0000
1393137715     1      0      -3.5060
1393137715     2      0      -1.4910
1393137715     6      0      236.0000
1393137715     6      1      0.0000
1393137726     1      0      -3.5060
1393137726     2      0      -1.4750
1393137726     6      0      236.0000
1393137726     6      1      0.0000
1393137737     1      0      -3.5060
1393137737     2      0      -1.6160
1393137737     6      0      236.0000
